Region,Year,Educational Attainment,Median Income
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,Less than High School,67139.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,High school,90827.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,College,109303.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,Bachelor,180505.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,Graduate,202856.0
Clark County,2016,Less than High School,129604.0
Clark County,2016,High school,135533.0
Clark County,2016,College,151592.0
Clark County,2016,Bachelor,228627.0
Clark County,2016,Graduate,270683.0
King County,2016,Less than High School,281787.0
King County,2016,High school,397959.0
King County,2016,College,479449.0
King County,2016,Bachelor,757965.0
King County,2016,Graduate,911296.0
Kitsap County,2016,Less than High School,49720.0
Kitsap County,2016,High school,68501.0
Kitsap County,2016,College,78452.0
Kitsap County,2016,Bachelor,107987.0
Kitsap County,2016,Graduate,137940.0
Pierce County,2016,Less than High School,185613.0
Pierce County,2016,High school,244930.0
Pierce County,2016,College,281747.0
Pierce County,2016,Bachelor,375562.0
Pierce County,2016,Graduate,495275.0
Spokane County,2016,Less than High School,107429.0
Spokane County,2016,High school,117706.0
Spokane County,2016,College,126950.0
Spokane County,2016,Bachelor,186223.0
Spokane County,2016,Graduate,230284.0
Snohomish County,2016,Less than High School,181875.0
Snohomish County,2016,High school,221331.0
Snohomish County,2016,College,265043.0
Snohomish County,2016,Bachelor,376912.0
Snohomish County,2016,Graduate,465404.0
Thurston County,2016,Less than High School,55940.0
Thurston County,2016,High school,59015.0
Thurston County,2016,College,76996.0
Thurston County,2016,Bachelor,110568.0
Thurston County,2016,Graduate,126501.0
Yakima County,2016,Less than High School,44857.0
Yakima County,2016,High school,60802.0
Yakima County,2016,College,64474.0
Yakima County,2016,Bachelor,90331.0
Yakima County,2016,Graduate,127628.0
