Region,Year,Educational Attainment,Median Income
Thurston County,2013,Less than High School,51006.0
Thurston County,2013,High school,60948.0
Thurston County,2013,College,80089.0
Thurston County,2013,Bachelor,100176.0
Thurston County,2013,Graduate,132999.0
Yakima County,2013,Less than High School,39655.0
Yakima County,2013,High school,52623.0
Yakima County,2013,College,57224.0
Yakima County,2013,Bachelor,73317.0
Yakima County,2013,Graduate,119275.0
Washington,2014,Less than High School,22799.0
Washington,2014,High school,31016.0
Washington,2014,College,35409.0
Washington,2014,Bachelor,54844.0
Washington,2014,Graduate,70746.0
Whatcom County--Bellingham City,2014,Less than High School,25051.0
Whatcom County--Bellingham City,2014,High school,31085.0
Whatcom County--Bellingham City,2014,College,31524.0
Whatcom County--Bellingham City,2014,Bachelor,40245.0
Whatcom County--Bellingham City,2014,Graduate,51598.0
"Skajit, Island & San Juan Counties",2014,Less than High School,22904.0
"Skajit, Island & San Juan Counties",2014,High school,31878.0
"Skajit, Island & San Juan Counties",2014,College,31419.0
"Skajit, Island & San Juan Counties",2014,Bachelor,39298.0
"Skajit, Island & San Juan Counties",2014,Graduate,61189.0
Chelan & Douglas Counties,2014,Less than High School,22199.0
Chelan & Douglas Counties,2014,High school,30217.0
Chelan & Douglas Counties,2014,College,33108.0
Chelan & Douglas Counties,2014,Bachelor,41685.0
Chelan & Douglas Counties,2014,Graduate,45619.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2014,Less than High School,19905.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2014,High school,24822.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2014,College,26902.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2014,Bachelor,42052.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2014,Graduate,51400.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2014,Less than High School,25187.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2014,High school,27667.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2014,College,30986.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2014,Bachelor,38716.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2014,Graduate,47214.0
Grant & Kittitas Counties,2014,Less than High School,22600.0
Grant & Kittitas Counties,2014,High school,30114.0
Grant & Kittitas Counties,2014,College,31309.0
Grant & Kittitas Counties,2014,Bachelor,45669.0
Grant & Kittitas Counties,2014,Graduate,51730.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2014,Less than High School,20348.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2014,High school,26592.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2014,College,30994.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2014,Bachelor,40823.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2014,Graduate,60622.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2014,Less than High School,25880.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2014,High school,26948.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2014,College,31319.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2014,Bachelor,41948.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2014,Graduate,53778.0
Grays Harbor & Mason Counties,2014,Less than High School,20807.0
Grays Harbor & Mason Counties,2014,High school,27851.0
Grays Harbor & Mason Counties,2014,College,29429.0
Grays Harbor & Mason Counties,2014,Bachelor,48268.0
Grays Harbor & Mason Counties,2014,Graduate,45675.0
Clallam & Jefferson Counties,2014,Less than High School,35369.0
Clallam & Jefferson Counties,2014,High school,25588.0
Clallam & Jefferson Counties,2014,College,27715.0
Clallam & Jefferson Counties,2014,Bachelor,32392.0
Clallam & Jefferson Counties,2014,Graduate,54034.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,Less than High School,75244.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,High school,88050.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,College,97031.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,Bachelor,169470.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,Graduate,183231.0
Clark County,2014,Less than High School,103897.0
Clark County,2014,High school,123325.0
Clark County,2014,College,136521.0
Clark County,2014,Bachelor,214861.0
Clark County,2014,Graduate,238539.0
King County,2014,Less than High School,283778.0
King County,2014,High school,383980.0
King County,2014,College,432161.0
King County,2014,Bachelor,708158.0
King County,2014,Graduate,845459.0
Kitsap County,2014,Less than High School,49861.0
Kitsap County,2014,High school,60381.0
Kitsap County,2014,College,71570.0
Kitsap County,2014,Bachelor,102537.0
Kitsap County,2014,Graduate,151536.0
Pierce County,2014,Less than High School,185326.0
Pierce County,2014,High school,242766.0
Pierce County,2014,College,263792.0
Pierce County,2014,Bachelor,360750.0
Pierce County,2014,Graduate,459205.0
Spokane County,2014,Less than High School,73397.0
Spokane County,2014,High school,103206.0
Spokane County,2014,College,122914.0
Spokane County,2014,Bachelor,199091.0
Spokane County,2014,Graduate,247082.0
Snohomish County,2014,Less than High School,149072.0
Snohomish County,2014,High school,215049.0
Snohomish County,2014,College,242068.0
Snohomish County,2014,Bachelor,345418.0
Snohomish County,2014,Graduate,445977.0
Thurston County,2014,Less than High School,67375.0
