Region,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,Year
Washington,21550.0,30595.0,35743.0,52013.0,67087.0,2013
Whatcom County--Bellingham City,17974.0,28829.0,31249.0,41104.0,51720.0,2013
"Skajit, Island & San Juan Counties",17962.0,30850.0,31993.0,41720.0,60486.0,2013
Chelan & Douglas Counties,25124.0,26195.0,32170.0,37938.0,61676.0,2013
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",25325.0,24632.0,26994.0,36000.0,62043.0,2013
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",22274.0,27536.0,30670.0,36534.0,52942.0,2013
Grant & Kittitas Counties,21093.0,27925.0,31918.0,35940.0,60647.0,2013
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",19127.0,26195.0,30152.0,39301.0,56923.0,2013
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",25806.0,22929.0,33086.0,46558.0,51485.0,2013
Grays Harbor & Mason Counties,24513.0,24887.0,31316.0,39224.0,61531.0,2013
Clallam & Jefferson Counties,17365.0,24569.0,28776.0,40185.0,41526.0,2013
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",66764.0,83018.0,98774.0,171509.0,181911.0,2013
Clark County,104405.0,126349.0,143453.0,206466.0,230411.0,2013
King County,232618.0,359183.0,446323.0,670313.0,843098.0,2013
Kitsap County,46878.0,60607.0,77252.0,116018.0,125348.0,2013
Pierce County,163311.0,223870.0,275689.0,358501.0,390332.0,2013
Spokane County,75948.0,112038.0,122523.0,161174.0,243155.0,2013
Snohomish County,158334.0,216360.0,244110.0,341805.0,415438.0,2013
Thurston County,51006.0,60948.0,80089.0,100176.0,132999.0,2013
Yakima County,39655.0,52623.0,57224.0,73317.0,119275.0,2013
