Region,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,Year
Washington,22799.0,31016.0,35409.0,54844.0,70746.0,2014
Whatcom County--Bellingham City,25051.0,31085.0,31524.0,40245.0,51598.0,2014
"Skajit, Island & San Juan Counties",22904.0,31878.0,31419.0,39298.0,61189.0,2014
Chelan & Douglas Counties,22199.0,30217.0,33108.0,41685.0,45619.0,2014
"Stevens, Okanogan, Pend Oreille & Ferry Counties",19905.0,24822.0,26902.0,42052.0,51400.0,2014
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",25187.0,27667.0,30986.0,38716.0,47214.0,2014
Grant & Kittitas Counties,22600.0,30114.0,31309.0,45669.0,51730.0,2014
"Lewis, Klickitat & Skamania Counties",20348.0,26592.0,30994.0,40823.0,60622.0,2014
"Cowlitz, Pacific & Wahkiakum Counties",25880.0,26948.0,31319.0,41948.0,53778.0,2014
Grays Harbor & Mason Counties,20807.0,27851.0,29429.0,48268.0,45675.0,2014
Clallam & Jefferson Counties,35369.0,25588.0,27715.0,32392.0,54034.0,2014
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",75244.0,88050.0,97031.0,169470.0,183231.0,2014
Clark County,103897.0,123325.0,136521.0,214861.0,238539.0,2014
King County,283778.0,383980.0,432161.0,708158.0,845459.0,2014
Kitsap County,49861.0,60381.0,71570.0,102537.0,151536.0,2014
Pierce County,185326.0,242766.0,263792.0,360750.0,459205.0,2014
Spokane County,73397.0,103206.0,122914.0,199091.0,247082.0,2014
Snohomish County,149072.0,215049.0,242068.0,345418.0,445977.0,2014
Thurston County,67375.0,53044.0,80249.0,99556.0,142312.0,2014
Yakima County,40553.0,52916.0,64795.0,97760.0,116471.0,2014
