Region,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,Year
Washington,24751.0,31319.0,37293.0,55795.0,71123.0,2015
Whatcom County--Bellingham City,24722.0,33003.0,30113.0,38748.0,50420.0,2015
"Skajit, Island & San Juan Counties",25989.0,30419.0,35594.0,41591.0,60959.0,2015
Chelan & Douglas Counties,25660.0,26779.0,36674.0,42357.0,62334.0,2015
"Stevens, Okanogan, Pend Oreille & Ferry Counties",19825.0,25031.0,31959.0,36383.0,62684.0,2015
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",21947.0,30244.0,30801.0,32529.0,43423.0,2015
Grant & Kittitas Counties,22284.0,31308.0,34573.0,37485.0,66103.0,2015
"Lewis, Klickitat & Skamania Counties",25020.0,31027.0,35497.0,40103.0,60550.0,2015
"Cowlitz, Pacific & Wahkiakum Counties",18899.0,30253.0,37229.0,51533.0,52704.0,2015
Grays Harbor & Mason Counties,18931.0,25315.0,31803.0,51182.0,70273.0,2015
Clallam & Jefferson Counties,23194.0,30450.0,30429.0,26133.0,52140.0,2015
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",61454.0,91935.0,113804.0,155079.0,197071.0,2015
Clark County,113105.0,136377.0,148422.0,222799.0,253704.0,2015
King County,301364.0,356446.0,468146.0,733113.0,865035.0,2015
Kitsap County,45990.0,58576.0,76405.0,107694.0,120150.0,2015
Pierce County,213952.0,236877.0,275014.0,350361.0,471977.0,2015
Spokane County,78809.0,104103.0,120367.0,172496.0,225103.0,2015
Snohomish County,151901.0,225135.0,264039.0,361569.0,457291.0,2015
Thurston County,55524.0,64664.0,76193.0,111131.0,131816.0,2015
Yakima County,43173.0,56643.0,66246.0,85647.0,124265.0,2015
